filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
Amaaganga.mp3,0.26161476053976856,0.02094685100018978,1266.6380519962622,740.1190530562449,1905.2567299113823,0.11632777664516998,-460.8324771013478,85.21726425569223,-21.168351565587532,-20.257812212050027,20.80037529846547,9.281504674236542,-15.026998857590398,-7.041949905139992,4.6237943737651666,1.3790597471311787,-1.3277093336613635,0.9824189515757427,2.0495500550338686,0.13021490223049947,-2.9446910590446853,-1.730645139393325,2.274391709498335,-0.5092954105703499,-5.8931803965162946,-3.340076340083038,amaradewa
IrahadaPaayana.mp3,0.23603583926051624,0.019403357058763504,2305.4031884628093,1479.0934412078348,3878.83975831807,0.18060756890728838,-444.6658671201886,43.94831499188314,-32.32062304100276,20.42648521370386,-22.785158652167045,-0.0011476353468424646,10.0404512927784,-13.070853679842326,5.977757646721026,-2.9547130471869227,-1.6666399994720673,0.11328907031033005,-3.7649195481181663,1.1306101883778665,-3.8478583426255866,-0.48972112054836114,-3.688254412533214,-2.428896433655547,-1.3291141187049789,-4.6717746116651035,amaradewa
MuniSiripaa.mp3,0.26272015639620044,0.031997211277484894,2276.27707433436,1269.152205640951,3615.453705187419,0.20147592111226864,-423.82078492957663,51.66370147560539,-52.59277461074927,47.09264290333653,-1.1395903813149766,-17.080627986203947,5.726836314574231,-26.389910227013264,2.7950604605320946,13.404103761872626,1.715750387899068,4.267357808750916,-14.638595785141275,-2.562983517007798,2.899431169364589,-7.625742660168995,5.688770720063067,-0.16536262931775023,-7.707110670289632,-3.5345327180030854,amaradewa
Nimhim.mp3,0.2580520270438866,0.03010561689734459,2493.4842942591117,1692.8056668746183,4268.100241081848,0.19414527592680286,-394.2193549326004,36.19411531591004,-17.76629409222486,39.593154920452406,-23.688225163561814,5.478585976201752,-11.664695799091577,5.426666487531739,-5.663445248915513,2.030015103714079,-1.0338156748363188,-8.162439583246615,6.4736004363768656,-4.714284412593819,2.951461352771402,-1.683669862287312,2.4547214406561375,-0.3375649858003197,-5.708496122614576,-3.807998584718056,amaradewa
BindunuPemin.mp3,0.23280944767653364,0.018771328032016754,1381.7761887133681,855.6614885381988,2161.335895746734,0.11972334816126569,-466.32889822436135,77.97050770592992,-27.823380054817743,-16.771851917403655,19.92988162312524,-0.4118883525331647,-16.067184151063024,-3.228954223579145,-3.0752573868443327,-7.84774918291707,-1.4227709249596223,-1.86379448994111,-4.862958619208909,1.0483882820279775,0.7942301675715755,-3.6602324276378635,1.4956080627520962,2.739502143882674,-3.8470231949787976,-0.7070907401822333,chandralekha
HiruGilila.mp3,0.2549835144662861,0.020944632589817047,1673.0299972651014,809.1682289381497,2430.2113465111324,0.16499923847777187,-458.9586504011319,83.5684755829192,-50.125336080927276,-14.526329856505505,33.630025435336854,-6.371019124581784,-17.624652340030607,10.635286578674345,-0.9101972271906187,-13.214701396098574,5.694286297583995,3.215925807912155,-10.392567849786863,2.8866629988973362,7.84052304892254,-6.424081926269603,-2.691212080708399,5.209207449567283,-3.4115630494682665,-2.1173605100623,chandralekha
KusumataLanwee.mp3,0.23188370682868018,0.04292510822415352,2246.711780323728,1443.7731067143231,3708.141436402977,0.1823255066912335,-380.34533334800597,42.094311020999434,-37.4643686415054,34.842355378731305,-16.841466067010643,1.4469012540159414,-5.952860161732255,-9.371796616518777,0.07508014021805003,-5.468110316606857,-7.061872907314485,-3.106960592895322,-4.136542057837489,-0.5392318851122675,1.8801371754519955,-4.756777355422423,0.03437872237601084,-4.373432278560435,2.025381610194388,0.5273385215619314,chandralekha
LanginMage.mp3,0.25218087224678565,0.024705257266759872,2607.008747485015,1643.8986922385288,4246.885777996052,0.21176114392354392,-422.7395835001751,30.450356385884692,-21.53377697150311,25.78446885416924,-12.86338809941221,3.0597532189998233,0.11262793385323115,-4.884618395389357,-6.314444291178713,1.56957472662027,-2.9036442145535055,-1.8479377096962535,4.565699790237752,1.5183530736781856,3.298256983356319,-1.2294686610945833,4.035030372319532,0.8582510491245472,3.584033168626925,1.3071676809057189,chandralekha
AdaretaKiyanaKatha.mp3,0.24305501274518776,0.016276346519589424,1631.8762522874626,819.0363843667718,2388.1050081328353,0.15806581914912038,-492.21115305045424,82.05324784125558,-44.993313186009914,-13.93150657289086,26.11835450447273,-9.049930171496655,-11.936875145705137,11.764355356814848,-4.462713194118816,-10.438466125338186,11.078405502913158,4.910139313107482,-7.699016987002785,3.7993643917513693,1.7342696047541981,-9.271275913942553,2.288244301822339,6.509463350585731,-6.653978862525175,-2.2023373836247484,clarence
AluthLowak.mp3,0.241958187733879,0.015109868720173836,2359.820094527946,1418.0013279009636,3681.292272746892,0.19815655522395423,-459.4463549144797,42.642908695772206,-48.941363110161596,30.83440127953301,1.9271164864132706,-13.229793550974955,-7.198248101930117,2.5523294159479617,-2.108436188683228,6.199737280136104,0.5011452696024479,1.095617201965954,-1.6120483883241912,-0.4453161094112341,2.6275202296702758,-3.403108160071859,3.5224756624316,-4.047591255152932,1.0137417063854766,-2.0379176771281466,clarence
